Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.3000E+03,.4038E-03,.8723E-03,.8723E-03,.4038E-03
.3005E+03,.5622E-03,.1239E-02,.1239E-02,.5622E-03
.3010E+03,.9467E-03,.2171E-02,.2171E-02,.9467E-03
.3015E+03,.1416E-02,.3384E-02,.3384E-02,.1416E-02
.3020E+03,.1183E-02,.2885E-02,.2885E-02,.1183E-02
.3025E+03,.2281E-02,.5484E-02,.5484E-02,.2281E-02
.3030E+03,.4004E-02,.9362E-02,.9362E-02,.4004E-02
.3035E+03,.4988E-02,.1145E-01,.1145E-01,.4988E-02
.3040E+03,.4638E-02,.1060E-01,.1060E-01,.4638E-02
.3045E+03,.6540E-02,.1493E-01,.1493E-01,.6540E-02
.3050E+03,.9110E-02,.2089E-01,.2089E-01,.9110E-02
.3055E+03,.9957E-02,.2288E-01,.2288E-01,.9957E-02
.3060E+03,.9545E-02,.2188E-01,.2188E-01,.9545E-02
.3065E+03,.1156E-01,.2649E-01,.2649E-01,.1156E-01
.3070E+03,.1586E-01,.3664E-01,.3664E-01,.1586E-01
.3075E+03,.1963E-01,.4574E-01,.4574E-01,.1963E-01
.3080E+03,.2077E-01,.4827E-01,.4827E-01,.2077E-01
.3085E+03,.2377E-01,.5533E-01,.5533E-01,.2377E-01
.3090E+03,.2127E-01,.5404E-01,.5404E-01,.2127E-01
.3095E+03,.2386E-01,.5895E-01,.5895E-01,.2386E-01
.3100E+03,.2384E-01,.5808E-01,.5808E-01,.2384E-01
.3105E+03,.3877E-01,.9352E-01,.9352E-01,.3877E-01
.3110E+03,.4835E-01,.1154E+00,.1154E+00,.4835E-01
.3115E+03,.4684E-01,.1109E+00,.1109E+00,.4684E-01
.3120E+03,.4558E-01,.1065E+00,.1065E+00,.4558E-01
.3125E+03,.5461E-01,.1265E+00,.1265E+00,.5461E-01
.3130E+03,.5906E-01,.1359E+00,.1359E+00,.5906E-01
.3135E+03,.5871E-01,.1344E+00,.1344E+00,.5871E-01
.3140E+03,.7145E-01,.1623E+00,.1623E+00,.7145E-01
.3145E+03,.6105E-01,.1380E+00,.1380E+00,.6105E-01
.3150E+03,.8045E-01,.1809E+00,.1809E+00,.8045E-01
.3155E+03,.6952E-01,.1552E+00,.1552E+00,.6952E-01
.3160E+03,.5879E-01,.1308E+00,.1308E+00,.5879E-01
.3165E+03,.8218E-01,.1824E+00,.1824E+00,.8218E-01
.3170E+03,.1030E+00,.2272E+00,.2272E+00,.1030E+00
.3175E+03,.1092E+00,.2392E+00,.2392E+00,.1092E+00
.3180E+03,.8366E-01,.1828E+00,.1828E+00,.8366E-01
.3185E+03,.9975E-01,.2182E+00,.2182E+00,.9975E-01
.3190E+03,.1164E+00,.2543E+00,.2543E+00,.1164E+00
.3195E+03,.9949E-01,.2147E+00,.2147E+00,.9949E-01
.3200E+03,.1217E+00,.2608E+00,.2608E+00,.1217E+00
.3205E+03,.1457E+00,.3130E+00,.3130E+00,.1457E+00
.3210E+03,.1247E+00,.2690E+00,.2690E+00,.1247E+00
.3215E+03,.1200E+00,.2576E+00,.2576E+00,.1200E+00
.3220E+03,.1354E+00,.2861E+00,.2861E+00,.1354E+00
.3225E+03,.1181E+00,.2481E+00,.2481E+00,.1181E+00
.3230E+03,.1144E+00,.2406E+00,.2406E+00,.1144E+00
.3235E+03,.1338E+00,.2891E+00,.2891E+00,.1338E+00
.3240E+03,.1565E+00,.3366E+00,.3366E+00,.1565E+00
.3245E+03,.1623E+00,.3457E+00,.3457E+00,.1623E+00
.3250E+03,.1470E+00,.3023E+00,.3023E+00,.1470E+00
.3255E+03,.1849E+00,.3804E+00,.3804E+00,.1849E+00
.3260E+03,.2198E+00,.4621E+00,.4621E+00,.2198E+00
.3265E+03,.2173E+00,.4568E+00,.4568E+00,.2173E+00
.3270E+03,.2197E+00,.4582E+00,.4582E+00,.2197E+00
.3275E+03,.2154E+00,.4454E+00,.4454E+00,.2154E+00
.3280E+03,.1978E+00,.4037E+00,.4037E+00,.1978E+00
.3285E+03,.2024E+00,.4141E+00,.4141E+00,.2024E+00
