Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.3000E+03,.5173E-03,.9935E-03,.9935E-03,.5173E-03
.3005E+03,.7143E-03,.1399E-02,.1399E-02,.7143E-03
.3010E+03,.1187E-02,.2424E-02,.2424E-02,.1187E-02
.3015E+03,.1753E-02,.3731E-02,.3731E-02,.1753E-02
.3020E+03,.1451E-02,.3061E-02,.3061E-02,.1451E-02
.3025E+03,.2771E-02,.5700E-02,.5700E-02,.2771E-02
.3030E+03,.4809E-02,.9616E-02,.9616E-02,.4809E-02
.3035E+03,.5935E-02,.1176E-01,.1176E-01,.5935E-02
.3040E+03,.5485E-02,.1081E-01,.1081E-01,.5485E-02
.3045E+03,.7680E-02,.1512E-01,.1512E-01,.7680E-02
.3050E+03,.1060E-01,.2095E-01,.2095E-01,.1060E-01
.3055E+03,.1150E-01,.2274E-01,.2274E-01,.1150E-01
.3060E+03,.1097E-01,.2161E-01,.2161E-01,.1097E-01
.3065E+03,.1322E-01,.2602E-01,.2602E-01,.1322E-01
.3070E+03,.1803E-01,.3573E-01,.3573E-01,.1803E-01
.3075E+03,.2216E-01,.4425E-01,.4425E-01,.2216E-01
.3080E+03,.2333E-01,.4640E-01,.4640E-01,.2333E-01
.3085E+03,.2660E-01,.5773E-01,.5773E-01,.2660E-01
.3090E+03,.2373E-01,.5073E-01,.5073E-01,.2373E-01
.3095E+03,.2645E-01,.5508E-01,.5508E-01,.2645E-01
.3100E+03,.2633E-01,.5407E-01,.5407E-01,.2633E-01
.3105E+03,.4266E-01,.8673E-01,.8673E-01,.4266E-01
.3110E+03,.5307E-01,.1067E+00,.1067E+00,.5307E-01
.3115E+03,.5128E-01,.1023E+00,.1023E+00,.5128E-01
.3120E+03,.4969E-01,.9787E-01,.9787E-01,.4969E-01
.3125E+03,.5932E-01,.1158E+00,.1158E+00,.5932E-01
.3130E+03,.6394E-01,.1239E+00,.1239E+00,.6394E-01
.3135E+03,.6348E-01,.1223E+00,.1223E+00,.6348E-01
.3140E+03,.7709E-01,.1475E+00,.1475E+00,.7709E-01
.3145E+03,.6560E-01,.1249E+00,.1249E+00,.6560E-01
.3150E+03,.8620E-01,.1632E+00,.1632E+00,.8620E-01
.3155E+03,.7444E-01,.1399E+00,.1399E+00,.7444E-01
.3160E+03,.6282E-01,.1176E+00,.1176E+00,.6282E-01
.3165E+03,.8759E-01,.1636E+00,.1636E+00,.8759E-01
.3170E+03,.1096E+00,.2034E+00,.2034E+00,.1096E+00
.3175E+03,.1160E+00,.2138E+00,.2138E+00,.1160E+00
.3180E+03,.8880E-01,.1631E+00,.1631E+00,.8880E-01
.3185E+03,.1056E+00,.1943E+00,.1943E+00,.1056E+00
.3190E+03,.1230E+00,.2259E+00,.2259E+00,.1230E+00
.3195E+03,.1051E+00,.1906E+00,.1906E+00,.1051E+00
.3200E+03,.1285E+00,.2315E+00,.2315E+00,.1285E+00
.3205E+03,.1536E+00,.2774E+00,.2774E+00,.1536E+00
.3210E+03,.1312E+00,.2378E+00,.2378E+00,.1312E+00
.3215E+03,.1260E+00,.2274E+00,.2274E+00,.1260E+00
.3220E+03,.1423E+00,.2526E+00,.2526E+00,.1423E+00
.3225E+03,.1241E+00,.2191E+00,.2191E+00,.1241E+00
.3230E+03,.1201E+00,.2123E+00,.2123E+00,.1201E+00
.3235E+03,.1401E+00,.2543E+00,.2543E+00,.1401E+00
.3240E+03,.1635E+00,.2957E+00,.2957E+00,.1635E+00
.3245E+03,.1696E+00,.3037E+00,.3037E+00,.1696E+00
.3250E+03,.1538E+00,.2661E+00,.2661E+00,.1538E+00
.3255E+03,.1933E+00,.3346E+00,.3346E+00,.1933E+00
.3260E+03,.2294E+00,.4058E+00,.4058E+00,.2294E+00
.3265E+03,.2264E+00,.4006E+00,.4006E+00,.2264E+00
.3270E+03,.2287E+00,.4016E+00,.4016E+00,.2287E+00
.3275E+03,.2242E+00,.3904E+00,.3904E+00,.2242E+00
.3280E+03,.2060E+00,.3544E+00,.3544E+00,.2060E+00
.3285E+03,.2107E+00,.3634E+00,.3634E+00,.2107E+00
.3290E+03,.2471E+00,.4271E+00,.4271E+00,.2471E+00
.3295E+03,.2797E+00,.4822E+00,.4822E+00,.2797E+00
.3300E+03,.2855E+00,.4885E+00,.4885E+00,.2855E+00
.3305E+03,.2343E+00,.3962E+00,.3962E+00,.2343E+00
.3310E+03,.2414E+00,.4054E+00,.4054E+00,.2414E+00
.3315E+03,.2429E+00,.4075E+00,.4075E+00,.2429E+00
.3320E+03,.2581E+00,.4338E+00,.4338E+00,.2581E+00
.3325E+03,.2541E+00,.4263E+00,.4263E+00,.2541E+00
.3330E+03,.2561E+00,.4265E+00,.4265E+00,.2561E+00
.3335E+03,.2367E+00,.3901E+00,.3901E+00,.2367E+00
.3340E+03,.2441E+00,.3999E+00,.3999E+00,.2441E+00
.3345E+03,.2779E+00,.4556E+00,.4556E+00,.2779E+00
.3350E+03,.2596E+00,.4251E+00,.4251E+00,.2596E+00
.3355E+03,.2956E+00,.4986E+00,.4986E+00,.2956E+00
.3360E+03,.2054E+00,.3448E+00,.3448E+00,.2054E+00
.3365E+03,.2504E+00,.4032E+00,.4032E+00,.2504E+00
.3370E+03,.2080E+00,.3324E+00,.3324E+00,.2080E+00
.3375E+03,.2605E+00,.4138E+00,.4138E+00,.2605E+00
.3380E+03,.2516E+00,.3998E+00,.3998E+00,.2516E+00
.3385E+03,.2846E+00,.4622E+00,.4622E+00,.2846E+00
.3390E+03,.2843E+00,.4566E+00,.4566E+00,.2843E+00
.3395E+03,.2736E+00,.4395E+00,.4395E+00,.2736E+00
.3400E+03,.3303E+00,.5150E+00,.5150E+00,.3303E+00
.3405E+03,.2986E+00,.4635E+00,.4635E+00,.2986E+00
.3410E+03,.2872E+00,.4530E+00,.4530E+00,.2872E+00
.3415E+03,.2670E+00,.4150E+00,.4150E+00,.2670E+00
.3420E+03,.3209E+00,.4953E+00,.4953E+00,.3209E+00
.3425E+03,.3021E+00,.4632E+00,.4632E+00,.3021E+00
.3430E+03,.3322E+00,.5098E+00,.5098E+00,.3322E+00
.3435E+03,.3130E+00,.4800E+00,.4800E+00,.3130E+00
.3440E+03,.2354E+00,.3685E+00,.3685E+00,.2354E+00
.3445E+03,.2337E+00,.3583E+00,.3583E+00,.2337E+00
.3450E+03,.3139E+00,.4731E+00,.4731E+00,.3139E+00
.3455E+03,.3227E+00,.4825E+00,.4825E+00,.3227E+00
.3460E+03,.2759E+00,.4097E+00,.4097E+00,.2759E+00
.3465E+03,.3139E+00,.4635E+00,.4635E+00,.3139E+00
.3470E+03,.3372E+00,.4975E+00,.4975E+00,.3372E+00
.3475E+03,.2733E+00,.4022E+00,.4022E+00,.2733E+00
.3480E+03,.3140E+00,.4579E+00,.4579E+00,.3140E+00
.3485E+03,.3157E+00,.4573E+00,.4573E+00,.3157E+00
.3490E+03,.2941E+00,.4239E+00,.4239E+00,.2941E+00
.3495E+03,.2921E+00,.4196E+00,.4196E+00,.2921E+00
.3500E+03,.3626E+00,.5185E+00,.5185E+00,.3626E+00
.3505E+03,.3837E+00,.5465E+00,.5465E+00,.3837E+00
.3510E+03,.3435E+00,.4880E+00,.4880E+00,.3435E+00
.3515E+03,.3334E+00,.4746E+00,.4746E+00,.3334E+00
.3520E+03,.3605E+00,.5093E+00,.5093E+00,.3605E+00
.3525E+03,.2828E+00,.3970E+00,.3970E+00,.2828E+00
.3530E+03,.3577E+00,.4995E+00,.4995E+00,.3577E+00
.3535E+03,.3838E+00,.5333E+00,.5333E+00,.3838E+00
.3540E+03,.3997E+00,.5529E+00,.5529E+00,.3997E+00
.3545E+03,.4070E+00,.5608E+00,.5608E+00,.4070E+00
.3550E+03,.4070E+00,.5591E+00,.5591E+00,.4070E+00
.3555E+03,.3692E+00,.5051E+00,.5051E+00,.3692E+00
.3560E+03,.3878E+00,.5285E+00,.5285E+00,.3878E+00
.3565E+03,.3323E+00,.4511E+00,.4511E+00,.3323E+00
.3570E+03,.2755E+00,.3727E+00,.3727E+00,.2755E+00
.3575E+03,.3384E+00,.4560E+00,.4560E+00,.3384E+00
.3580E+03,.2691E+00,.3613E+00,.3613E+00,.2691E+00
.3585E+03,.2308E+00,.3086E+00,.3086E+00,.2308E+00
.3590E+03,.3239E+00,.4316E+00,.4316E+00,.3239E+00
