Wvlgth,Direct_normal_irradiance,Global_horizn_irradiance,Global_tilted_irradiance,Beam_normal_+circumsolar
.3000E+03,.2821E-03,.5137E-03,.5137E-03,.2821E-03
.3005E+03,.4048E-03,.7482E-03,.7482E-03,.4048E-03
.3010E+03,.7106E-03,.1357E-02,.1357E-02,.7106E-03
.3015E+03,.1091E-02,.2154E-02,.2154E-02,.1091E-02
.3020E+03,.9155E-03,.1833E-02,.1833E-02,.9155E-03
.3025E+03,.1814E-02,.3779E-02,.3779E-02,.1814E-02
.3030E+03,.3296E-02,.6736E-02,.6736E-02,.3296E-02
.3035E+03,.4152E-02,.8315E-02,.8315E-02,.4152E-02
.3040E+03,.3863E-02,.7633E-02,.7633E-02,.3863E-02
.3045E+03,.5578E-02,.1085E-01,.1085E-01,.5578E-02
.3050E+03,.8020E-02,.1563E-01,.1563E-01,.8020E-02
.3055E+03,.8870E-02,.1728E-01,.1728E-01,.8870E-02
.3060E+03,.8495E-02,.1648E-01,.1648E-01,.8495E-02
.3065E+03,.1037E-01,.2008E-01,.2008E-01,.1037E-01
.3070E+03,.1459E-01,.2842E-01,.2842E-01,.1459E-01
.3075E+03,.1839E-01,.3606E-01,.3606E-01,.1839E-01
.3080E+03,.1931E-01,.3771E-01,.3771E-01,.1931E-01
.3085E+03,.2227E-01,.4352E-01,.4352E-01,.2227E-01
.3090E+03,.2002E-01,.3911E-01,.3911E-01,.2002E-01
.3095E+03,.2296E-01,.4838E-01,.4838E-01,.2296E-01
.3100E+03,.2310E-01,.4787E-01,.4787E-01,.2310E-01
.3105E+03,.3751E-01,.7686E-01,.7686E-01,.3751E-01
.3110E+03,.4711E-01,.9530E-01,.9530E-01,.4711E-01
.3115E+03,.4559E-01,.9142E-01,.9142E-01,.4559E-01
.3120E+03,.4509E-01,.8897E-01,.8897E-01,.4509E-01
.3125E+03,.5443E-01,.1063E+00,.1063E+00,.5443E-01
.3130E+03,.5887E-01,.1140E+00,.1140E+00,.5887E-01
.3135E+03,.5786E-01,.1115E+00,.1115E+00,.5786E-01
.3140E+03,.7144E-01,.1365E+00,.1365E+00,.7144E-01
.3145E+03,.6190E-01,.1175E+00,.1175E+00,.6190E-01
.3150E+03,.8128E-01,.1533E+00,.1533E+00,.8128E-01
.3155E+03,.6935E-01,.1299E+00,.1299E+00,.6935E-01
.3160E+03,.5947E-01,.1109E+00,.1109E+00,.5947E-01
.3165E+03,.8385E-01,.1559E+00,.1559E+00,.8385E-01
.3170E+03,.1046E+00,.1933E+00,.1933E+00,.1046E+00
.3175E+03,.1102E+00,.2021E+00,.2021E+00,.1102E+00
.3180E+03,.8502E-01,.1555E+00,.1555E+00,.8502E-01
.3185E+03,.1026E+00,.1878E+00,.1878E+00,.1026E+00
.3190E+03,.1201E+00,.2196E+00,.2196E+00,.1201E+00
.3195E+03,.1013E+00,.1828E+00,.1828E+00,.1013E+00
.3200E+03,.1235E+00,.2214E+00,.2214E+00,.1235E+00
.3205E+03,.1499E+00,.2694E+00,.2694E+00,.1499E+00
.3210E+03,.1294E+00,.2338E+00,.2338E+00,.1294E+00
.3215E+03,.1242E+00,.2233E+00,.2233E+00,.1242E+00
.3220E+03,.1382E+00,.2442E+00,.2442E+00,.1382E+00
.3225E+03,.1207E+00,.2122E+00,.2122E+00,.1207E+00
.3230E+03,.1179E+00,.2076E+00,.2076E+00,.1179E+00
.3235E+03,.1393E+00,.2522E+00,.2522E+00,.1393E+00
.3240E+03,.1626E+00,.2932E+00,.2932E+00,.1626E+00
.3245E+03,.1677E+00,.2934E+00,.2934E+00,.1677E+00
.3250E+03,.1505E+00,.2593E+00,.2593E+00,.1505E+00
.3255E+03,.1905E+00,.3286E+00,.3286E+00,.1905E+00
.3260E+03,.2280E+00,.4024E+00,.4024E+00,.2280E+00
.3265E+03,.2260E+00,.3991E+00,.3991E+00,.2260E+00
.3270E+03,.2276E+00,.3986E+00,.3986E+00,.2276E+00
.3275E+03,.2225E+00,.3863E+00,.3863E+00,.2225E+00
.3280E+03,.2028E+00,.3408E+00,.3408E+00,.2028E+00
.3285E+03,.2095E+00,.3606E+00,.3606E+00,.2095E+00
.3290E+03,.2470E+00,.4265E+00,.4265E+00,.2470E+00
.3295E+03,.2798E+00,.4816E+00,.4816E+00,.2798E+00
.3300E+03,.2850E+00,.4868E+00,.4868E+00,.2850E+00
.3305E+03,.2328E+00,.3928E+00,.3928E+00,.2328E+00
.3310E+03,.2395E+00,.4012E+00,.4012E+00,.2395E+00
.3315E+03,.2420E+00,.4052E+00,.4052E+00,.2420E+00
.3320E+03,.2582E+00,.4333E+00,.4333E+00,.2582E+00
.3325E+03,.2544E+00,.4264E+00,.4264E+00,.2544E+00
.3330E+03,.2561E+00,.4259E+00,.4259E+00,.2561E+00
.3335E+03,.2359E+00,.3880E+00,.3880E+00,.2359E+00
.3340E+03,.2433E+00,.3978E+00,.3978E+00,.2433E+00
.3345E+03,.2779E+00,.4551E+00,.4551E+00,.2779E+00
.3350E+03,.2600E+00,.4252E+00,.4252E+00,.2600E+00
.3355E+03,.2962E+00,.4991E+00,.4991E+00,.2962E+00
.3360E+03,.2058E+00,.3452E+00,.3452E+00,.2058E+00
.3365E+03,.2504E+00,.4026E+00,.4026E+00,.2504E+00
.3370E+03,.2076E+00,.3313E+00,.3313E+00,.2076E+00
.3375E+03,.2600E+00,.4123E+00,.4123E+00,.2600E+00
.3380E+03,.2518E+00,.3996E+00,.3996E+00,.2518E+00
.3385E+03,.2851E+00,.4628E+00,.4628E+00,.2851E+00
.3390E+03,.2849E+00,.4570E+00,.4570E+00,.2849E+00
.3395E+03,.2741E+00,.4398E+00,.4398E+00,.2741E+00
.3400E+03,.3304E+00,.5145E+00,.5145E+00,.3304E+00
