BAND #,CW (nm),FWHM (nm),borne_min,borne_max,coeff
1,418.416,6.99561,415.0,421.0,0.007353530572445367
2,424.043,6.6675,421.0,427.0,0.007423161671564207
3,429.457,6.42408,427.0,432.0,0.005528709270035774
4,434.686,6.25124,432.0,437.0,0.0064660229213184435
5,439.758,6.13485,437.0,442.0,0.0068262802411263035
6,444.699,6.06076,442.0,447.0,0.007450831671650731
7,449.539,6.01486,447.0,452.0,0.008058355409814222
8,454.306,5.98302,452.0,457.0,0.008093627058276166
9,459.031,5.95232,457.0,461.0,0.006604312108564066
10,463.73,5.9199,461.0,466.0,0.008366678267921219
11,468.411,5.88775,466.0,471.0,0.008218294091633037
12,473.08,5.8579,471.0,475.0,0.006758777603552582
13,477.744,5.83239,475.0,480.0,0.008496210356238359
14,482.411,5.81325,480.0,485.0,0.008650675851226874
15,487.087,5.8025,485.0,489.0,0.006213891448002544
16,491.78,5.8022,489.0,494.0,0.008425058927444436
17,496.497,5.81407,494.0,499.0,0.00855519914763161
18,501.243,5.83751,499.0,504.0,0.008202482663012167
19,506.02,5.87076,504.0,508.0,0.006711343317689965
20,510.829,5.91208,508.0,513.0,0.008350866839300346
21,515.672,5.95969,513.0,518.0,0.00782848156294155
22,520.551,6.01183,518.0,523.0,0.008094843322016232
23,525.467,6.06674,523.0,528.0,0.008226807937813507
24,530.424,6.12279,528.0,533.0,0.008480398927617486
25,535.422,6.1794,533.0,538.0,0.008457289916556213
26,540.463,6.23648,538.0,543.0,0.008285796729206759
27,545.551,6.29397,543.0,548.0,0.008455465520946111
28,550.687,6.35179,548.0,553.0,0.008476750136397286
29,555.873,6.40987,553.0,558.0,0.008452424861595944
30,561.112,6.46815,558.0,564.0,0.00988883233861513
31,566.405,6.52654,564.0,569.0,0.008156264640889619
32,571.756,6.58497,569.0,574.0,0.008086329475835765
33,577.166,6.64338,574.0,580.0,0.00970091959077477
34,582.636,6.70177,580.0,585.0,0.008340528597509776
35,588.171,6.76072,585.0,591.0,0.00931962090826375
36,593.773,6.82113,591.0,597.0,0.009320229040133781
37,599.446,6.88388,597.0,602.0,0.007895984200515271
38,605.193,6.94987,602.0,608.0,0.009684500030283864
39,611.017,7.01999,608.0,614.0,0.009640106403771416
40,616.923,7.09511,614.0,620.0,0.009497195414313538
41,622.921,7.17533,620.0,626.0,0.00933360794127452
42,628.987,7.25495,626.0,632.0,0.009168804204495435
43,635.112,7.33145,632.0,638.0,0.00939563739201794
44,641.294,7.40537,638.0,644.0,0.009430300908609851
45,647.537,7.47729,644.0,651.0,0.010636834538756362
46,653.841,7.54777,651.0,657.0,0.008740071236121801
47,660.207,7.61738,657.0,663.0,0.00890913189599112
48,666.637,7.68669,663.0,670.0,0.010666633000388004
49,673.131,7.75628,670.0,676.0,0.009287389919151973
50,679.691,7.8267,676.0,683.0,0.010689133879579243
51,686.319,7.89853,683.0,690.0,0.009526993875945178
52,693.014,7.97235,690.0,696.0,0.007992677167850602
53,699.78,8.04871,696.0,703.0,0.009742880689807082
54,706.617,8.1281,703.0,710.0,0.00998066025099019
55,713.524,8.2102,710.0,717.0,0.009757962360183912
56,720.501,8.29433,717.0,724.0,0.007679489254783336
57,727.545,8.3798,724.0,731.0,0.007609432463355476
58,734.654,8.46592,731.0,738.0,0.008936254577394616
59,741.826,8.552,738.0,745.0,0.00946314002959166
60,749.06,8.63735,745.0,753.0,0.011044891023548855
61,756.353,8.72128,753.0,760.0,0.009040184313983346
62,763.703,8.80311,760.0,767.0,0.0044401532226757655
63,771.108,8.88214,767.0,775.0,0.010229142933085886
64,778.567,8.95779,775.0,782.0,0.0090538672810591
65,786.078,9.03034,782.0,790.0,0.010040378800627482
66,793.639,9.1005,790.0,797.0,0.008376530004215762
67,801.249,9.16897,797.0,805.0,0.009509905370397238
68,808.905,9.23646,805.0,813.0,0.009332270051160448
69,816.608,9.30368,813.0,820.0,0.006338680107733423
70,824.355,9.37133,820.0,828.0,0.0077898651891944205
71,832.145,9.44012,828.0,836.0,0.008003988420633225
72,839.976,9.51076,836.0,844.0,0.00880550622533741
73,847.847,9.58396,844.0,852.0,0.008800033038507108
74,855.757,9.66032,852.0,860.0,0.008443911015415476
75,863.703,9.73971,860.0,868.0,0.008624586994002436
76,871.683,9.82161,868.0,876.0,0.008687102950241882
77,879.693,9.90551,876.0,884.0,0.008495115718872298
78,887.729,9.99089,884.0,892.0,0.00827965459731942
79,895.789,10.0772,892.0,899.0,0.005651491094595542
92,901.961,9.17725,899.0,907.0,0.005867560348018452
93,911.571,9.31901,907.0,916.0,0.005769407864195042
94,921.32,9.45441,916.0,926.0,0.007146340044324947
95,931.203,9.58399,926.0,936.0,0.003573650446339799
96,941.218,9.7083,936.0,946.0,0.0025020856034285287
97,951.36,9.82789,946.0,956.0,0.0027397557008750307
98,961.628,9.94331,956.0,967.0,0.004314756431074853
99,972.016,10.0551,967.0,977.0,0.006435859580564781
100,982.523,10.1638,977.0,988.0,0.00794822272815115
101,993.144,10.27,988.0,998.0,0.008291878047907094
102,1003.88,10.3742,998.0,1009.0,0.008944890049949092
103,1014.72,10.4768,1009.0,1020.0,0.0088398048628073
104,1025.66,10.5775,1020.0,1031.0,0.008691116620584102
105,1036.7,10.6753,1031.0,1042.0,0.008484290971585701
106,1047.84,10.769,1042.0,1053.0,0.008286648113824804
107,1059.07,10.8578,1053.0,1065.0,0.00875217306033547
108,1070.39,10.9405,1065.0,1076.0,0.007683138046003538
109,1081.78,11.0162,1076.0,1088.0,0.007977352244725757
110,1093.26,11.0839,1088.0,1099.0,0.006597257778871678
111,1104.81,11.1437,1099.0,1111.0,0.005489910456727633
112,1116.43,11.196,1111.0,1122.0,0.0018888454256867236
113,1128.1,11.2414,1122.0,1134.0,0.0010360621043387136
114,1139.84,11.2806,1134.0,1146.0,0.001709935462050341
115,1151.62,11.3139,1146.0,1158.0,0.0020877714416933897
116,1163.44,11.3421,1158.0,1169.0,0.003904632297924245
117,1175.3,11.3656,1169.0,1181.0,0.005491978105085748
118,1187.2,11.385,1181.0,1193.0,0.005348033291448813
119,1199.11,11.4009,1193.0,1205.0,0.005449652126931415
120,1211.05,11.4135,1205.0,1217.0,0.005668153907834461
121,1223.0,11.4229,1217.0,1229.0,0.005999281711067715
122,1234.97,11.4292,1229.0,1241.0,0.006269474700923609
123,1246.94,11.4325,1241.0,1253.0,0.006222101228247997
124,1258.93,11.4329,1253.0,1265.0,0.0057827259521487755
125,1270.92,11.4305,1265.0,1277.0,0.005305159994611451
126,1282.92,11.4253,1277.0,1289.0,0.005599739072455688
127,1294.91,11.4176,1289.0,1301.0,0.005261678565904053
128,1306.9,11.4073,1301.0,1313.0,0.004396854233529379
129,1318.88,11.3946,1313.0,1325.0,0.0034929878350985527
130,1330.85,11.3796,1325.0,1337.0,0.0022603045345406005
131,1342.82,11.3624,1337.0,1349.0,0.0010216569198541073
132,1354.76,11.343,1349.0,1361.0,6.577979937111976e-06
133,1366.69,11.3215,1361.0,1373.0,3.657648332148512e-10
134,1378.6,11.2981,1373.0,1385.0,7.79348708274201e-08
135,1390.48,11.2728,1385.0,1426.0,6.984821628725941e-05
136,1461.1,11.0876,1426.0,1467.0,0.0016360602106105387
137,1472.74,11.052,1467.0,1479.0,0.0006230177219482044
138,1484.34,11.0151,1479.0,1490.0,0.000995888913004299
139,1495.89,10.9772,1490.0,1502.0,0.0023877689744996266
140,1507.4,10.9383,1502.0,1513.0,0.002627981063162869
141,1518.87,10.8984,1513.0,1525.0,0.0034349720546973553
142,1530.29,10.8577,1525.0,1536.0,0.0033882675270787803
143,1541.67,10.8161,1536.0,1547.0,0.0034668989778741154
144,1553.01,10.7738,1547.0,1559.0,0.0037677418139796985
145,1564.3,10.7308,1559.0,1570.0,0.003378719856719254
146,1575.55,10.6872,1570.0,1581.0,0.003018097657789374
147,1586.76,10.643,1581.0,1592.0,0.003148846009846582
148,1597.91,10.5985,1592.0,1603.0,0.003123304471305174
149,1609.02,10.5535,1603.0,1615.0,0.003212395790265085
150,1620.09,10.5082,1615.0,1626.0,0.003056531591975493
151,1631.11,10.4626,1626.0,1637.0,0.003032084690800146
152,1642.07,10.4169,1637.0,1648.0,0.002799656690073332
153,1653.0,10.371,1648.0,1658.0,0.0025601743596541313
154,1663.87,10.3251,1658.0,1669.0,0.002766513503156505
155,1674.7,10.2793,1669.0,1680.0,0.0027035110414210324
156,1685.47,10.2335,1680.0,1691.0,0.0026110749971759374
157,1696.2,10.1879,1691.0,1702.0,0.0025747695245349356
158,1706.87,10.1425,1702.0,1712.0,0.0018048745770724945
159,1717.5,10.0974,1712.0,1723.0,0.001063622640688633
160,1728.08,10.0525,1723.0,1733.0,0.0009763557173388221
161,1738.6,10.0079,1733.0,1744.0,0.0009018595632597154
162,1749.08,9.96359,1744.0,1754.0,0.0008836156071587098
163,1759.51,9.91949,1754.0,1850.0,0.00461321779896355
164,1939.14,9.16572,1850.0,1944.0,6.813616037937497e-06
165,1948.69,9.12592,1944.0,1953.0,3.5074005604183475e-05
166,1958.2,9.08633,1953.0,1963.0,4.689608915763517e-05
