CW (nm),BAND #,borne_min,borne_max
406.9934,1,403.0,411.0
415.839,2,411.0,420.0
423.7848,3,420.0,428.0
431.3347,4,428.0,435.0
438.6569,5,435.0,442.0
446.0147,6,442.0,450.0
453.3895,7,450.0,457.0
460.7317,8,457.0,464.0
468.0984,9,464.0,472.0
475.3188,10,472.0,479.0
482.5482,11,479.0,486.0
489.7949,12,486.0,493.0
497.0587,13,493.0,501.0
504.5117,14,501.0,508.0
512.0464,15,508.0,516.0
519.5438,16,516.0,523.0
527.3053,17,523.0,531.0
535.0526,18,531.0,539.0
542.8851,19,539.0,547.0
550.9146,20,547.0,555.0
559.0203,21,555.0,563.0
567.2061,22,563.0,571.0
575.4868,23,571.0,580.0
583.8441,24,580.0,588.0
592.339,25,588.0,597.0
601.0144,26,597.0,605.0
609.9582,27,605.0,614.0
618.72,28,614.0,623.0
627.7784,29,623.0,632.0
636.6763,30,632.0,641.0
645.9638,31,641.0,651.0
655.4188,32,651.0,660.0
664.8941,33,660.0,670.0
674.4644,34,670.0,679.0
684.1373,35,679.0,689.0
694.1284,36,689.0,699.0
703.737,37,699.0,709.0
713.7269,38,709.0,719.0
723.8799,39,719.0,729.0
733.9552,40,729.0,739.0
744.1495,41,739.0,749.0
754.4696,42,749.0,760.0
764.8564,43,760.0,770.0
775.2735,44,770.0,780.0
785.6595,45,780.0,791.0
796.127,46,791.0,801.0
806.7111,47,801.0,812.0
817.311,48,812.0,823.0
827.9195,49,823.0,833.0
838.5272,50,833.0,844.0
849.21,51,844.0,855.0
859.9731,52,855.0,865.0
870.7426,53,865.0,876.0
881.4561,54,876.0,887.0
892.0809,55,887.0,897.0
902.8016,56,897.0,908.0
913.4451,57,908.0,919.0
923.9502,58,919.0,929.0
934.1121,59,929.0,939.0
943.3579,64,939.0,947.0
951.4014,65,947.0,956.0
959.974,66,956.0,965.0
969.8449,67,965.0,975.0
979.224,68,975.0,984.0
988.9179,69,984.0,994.0
998.9082,70,994.0,1004.0
1008.6443,71,1004.0,1014.0
1018.5357,72,1014.0,1024.0
1029.344,73,1024.0,1034.0
1037.9878,74,1034.0,1043.0
1047.675,75,1043.0,1053.0
