CW (nm),BAND #,borne_min,borne_max,coeff
406.9934,1,403.0,411.0,0.008678760076876894
415.839,2,411.0,420.0,0.010767574857531239
423.7848,3,420.0,428.0,0.009733930844644214
431.3347,4,428.0,435.0,0.00794942882448422
438.6569,5,435.0,442.0,0.009423801662914793
446.0147,6,442.0,450.0,0.012017205976487363
453.3895,7,450.0,457.0,0.011255674536432527
460.7317,8,457.0,464.0,0.011500923637993493
468.0984,9,464.0,472.0,0.01300419869328284
475.3188,10,472.0,479.0,0.0117083959830793
482.5482,11,479.0,486.0,0.011731181963175427
489.7949,12,486.0,493.0,0.011264669002259947
497.0587,13,493.0,501.0,0.013360979171103807
504.5117,14,501.0,508.0,0.011441560163532526
512.0464,15,508.0,516.0,0.013012593528055099
519.5438,16,516.0,523.0,0.010922279669762851
527.3053,17,523.0,531.0,0.013161302029735098
535.0526,18,531.0,539.0,0.013318405366187355
542.8851,19,539.0,547.0,0.013173894281893484
550.9146,20,547.0,555.0,0.013395757772303162
559.0203,21,555.0,563.0,0.01306416179879897
567.2061,22,563.0,571.0,0.012833903473617037
575.4868,23,571.0,580.0,0.01439654200336735
583.8441,24,580.0,588.0,0.013046172867144129
592.339,25,588.0,597.0,0.013557058526141547
601.0144,26,597.0,605.0,0.012538884994477683
609.9582,27,605.0,614.0,0.014301200665596706
618.72,28,614.0,623.0,0.014044558573987672
627.7784,29,623.0,632.0,0.01356365446774832
636.6763,30,632.0,641.0,0.013924032731900255
645.9638,31,641.0,651.0,0.015126892628553797
655.4188,32,651.0,660.0,0.012969420092083487
664.8941,33,660.0,670.0,0.01495060109833638
674.4644,34,670.0,679.0,0.01370216924149058
684.1373,35,679.0,689.0,0.014139300280703159
694.1284,36,689.0,699.0,0.013345988394724773
703.737,37,699.0,709.0,0.013811901724585095
713.7269,38,709.0,719.0,0.013064701466748615
723.8799,39,719.0,729.0,0.010831855306644529
733.9552,40,729.0,739.0,0.0123344707677732
744.1495,41,739.0,749.0,0.013509088041728647
754.4696,42,749.0,760.0,0.014323686830165251
764.8564,43,760.0,770.0,0.008030199127614445
775.2735,44,770.0,780.0,0.012823709745679293
785.6595,45,780.0,791.0,0.01361630207439148
796.127,46,791.0,801.0,0.011821246547660653
806.7111,47,801.0,812.0,0.012757390550978454
817.311,48,812.0,823.0,0.0101826347632214
827.9195,49,823.0,833.0,0.009636071056441889
838.5272,50,833.0,844.0,0.01176781942064578
849.21,51,844.0,855.0,0.011624087856723623
859.9731,52,855.0,865.0,0.01085056379556556
870.7426,53,865.0,876.0,0.011597943942718588
881.4561,54,876.0,887.0,0.011441500200427012
892.0809,55,887.0,897.0,0.009370314572794407
902.8016,56,897.0,908.0,0.007714553340177544
913.4451,57,908.0,919.0,0.006970531126933417
923.9502,58,919.0,929.0,0.007051961024224321
934.1121,59,929.0,939.0,0.0020558470652415773
943.3579,64,939.0,947.0,0.0022327262338930533
951.4014,65,947.0,956.0,0.0024883489527083107
959.974,66,956.0,965.0,0.0033424634276800484
969.8449,67,965.0,975.0,0.0060858354681484535
979.224,68,975.0,984.0,0.005898210910988489
988.9179,69,984.0,994.0,0.007979230487925735
998.9082,70,994.0,1004.0,0.008172371650793186
1008.6443,71,1004.0,1014.0,0.007949009082745607
1018.5357,72,1014.0,1024.0,0.007846951877157156
1029.344,73,1024.0,1034.0,0.007742616073559092
1037.9878,74,1034.0,1043.0,0.0068198438427713864
1047.675,75,1043.0,1053.0,0.007419115119299578
1057.5737,76,1053.0,1063.0,0.007205286685029063
1067.7948,77,1063.0,1073.0,0.006954580940866127
1078.2161,78,1073.0,1083.0,0.006725042172950388
1088.761,79,1083.0,1094.0,0.006896116912987902
1099.2776,80,1094.0,1105.0,0.005710286538300941
1109.8894,81,1105.0,1115.0,0.0035983859620228862
1120.6759,82,1115.0,1126.0,0.0010350771311088626
1131.3048,83,1126.0,1137.0,0.0009434019376094743
1142.0703,84,1137.0,1147.0,0.0015523848387070571
1152.6501,85,1147.0,1158.0,0.0019976948455120353
1163.676,86,1158.0,1169.0,0.0038500511158740783
1174.7142,87,1169.0,1180.0,0.0049530124787377505
1185.5884,88,1180.0,1191.0,0.004762149913879912
1196.3394,89,1191.0,1202.0,0.00508019422553746
1207.2737,90,1202.0,1213.0,0.00496464532120788
1217.8635,91,1213.0,1224.0,0.005323944249460522
1229.1852,92,1224.0,1235.0,0.005553962722220393
1240.2145,93,1235.0,1246.0,0.005681744100075262
1250.9799,94,1246.0,1257.0,0.0055499451941508115
1262.5322,95,1257.0,1268.0,0.005023948832563331
1273.4963,96,1268.0,1279.0,0.004864387008784912
1284.4878,97,1279.0,1290.0,0.005032583519757653
1295.4218,98,1290.0,1301.0,0.00473522647950317
1306.218,99,1301.0,1312.0,0.0040063749319546255
1317.2566,100,1312.0,1323.0,0.003256356408158887
1328.2993,101,1323.0,1334.0,0.00223728342991228
1339.1294,102,1334.0,1344.0,0.0013728553007917674
1349.7877,103,1344.0,1355.0,0.00014925081237759756
1361.0531,104,1355.0,1367.0,2.8780033696668717e-09
1372.9117,105,1367.0,1378.0,5.087032522426328e-08
1383.2798,106,1378.0,1389.0,3.6633337825116386e-08
1394.754,107,1389.0,1400.0,1.0764423049423933e-07
1405.6268,108,1400.0,1411.0,8.245787845525161e-07
1416.5374,109,1411.0,1422.0,3.5307524959753455e-05
1427.3748,110,1422.0,1433.0,0.00015691745082515733
1438.4659,111,1433.0,1444.0,0.00017048710160345727
1449.1888,112,1444.0,1454.0,0.00036311737881191054
1459.3157,113,1454.0,1465.0,0.0008733086650474506
1469.9308,114,1465.0,1475.0,0.00044361784796731333
1480.8422,115,1475.0,1486.0,0.0008371089382473637
1491.4292,116,1486.0,1497.0,0.001600451264088786
1502.0236,117,1497.0,1507.0,0.002182836930103635
1512.6333,118,1507.0,1518.0,0.0028905814645105023
1523.2222,119,1518.0,1528.0,0.0029438886653143405
1533.7764,120,1528.0,1539.0,0.0033850971957020163
1544.2262,121,1539.0,1550.0,0.003420535391062048
1554.8168,122,1550.0,1560.0,0.003089359159296469
1565.3688,123,1560.0,1570.0,0.0030232798170176946
1575.6274,124,1570.0,1581.0,0.0029759089636599532
1585.8597,125,1581.0,1591.0,0.0028180860699415027
1596.2454,126,1591.0,1601.0,0.002854243822567728
1606.4913,127,1601.0,1612.0,0.0028696543406853737
1616.8336,128,1612.0,1622.0,0.002712850819760697
1627.021,129,1622.0,1632.0,0.002767597135096922
1637.0919,130,1632.0,1642.0,0.0025857889991720198
1647.2316,131,1642.0,1652.0,0.0025067576261017617
1656.933,132,1652.0,1662.0,0.0025534089221933105
1667.1851,133,1662.0,1672.0,0.002443796365309827
1677.3193,134,1672.0,1682.0,0.002378496543402763
1687.4269,135,1682.0,1692.0,0.0023405998607165697
1697.2943,136,1692.0,1702.0,0.0023160149874549567
1707.0945,137,1702.0,1712.0,0.0017796450086131849
1716.8589,138,1712.0,1722.0,0.001048754715477092
1726.6516,139,1722.0,1732.0,0.000962707659061447
1736.4883,140,1732.0,1741.0,0.0008892528548041892
1746.2192,141,1741.0,1751.0,0.0008712639231493507
1755.833,142,1751.0,1761.0,0.0008373847685327379
1765.5127,143,1761.0,1770.0,0.0006850784805217708
1775.1178,144,1770.0,1780.0,0.0010994235396382204
1784.7173,145,1780.0,1789.0,0.00036604477762320795
1793.9531,146,1789.0,1799.0,0.00024920666652503105
1803.5902,147,1799.0,1808.0,6.548270937888839e-05
1813.0514,148,1808.0,1818.0,8.110609652111573e-06
1822.4413,149,1818.0,1827.0,5.159525414135298e-07
1832.0272,150,1827.0,1837.0,2.5811118769417617e-10
1841.3256,151,1837.0,1846.0,5.094795241730637e-11
1850.5543,152,1846.0,1855.0,2.0979291726927963e-11
1859.5587,153,1855.0,1864.0,6.493866412254056e-10
1868.1732,154,1864.0,1873.0,5.636533006546651e-10
1878.7426,155,1873.0,1883.0,6.05327573903726e-09
1887.0811,156,1883.0,1892.0,1.992873811828539e-08
1896.0913,157,1892.0,1901.0,1.2195407331615469e-08
1904.9347,158,1901.0,1910.0,9.323963092230438e-10
1914.3015,159,1910.0,1919.0,2.4956644515812784e-09
1923.3857,160,1919.0,1928.0,2.519050062732568e-07
1932.2599,161,1928.0,1937.0,1.998030638902926e-06
1941.1107,162,1937.0,1946.0,1.3953414653603158e-05
1949.9008,163,1946.0,1954.0,0.0
1958.6244,164,1954.0,1963.0,4.6240548818762684e-05
1967.3418,165,1963.0,1972.0,0.00015866237719567666
1976.0129,166,1972.0,1980.0,0.0003317158997152242
1984.853,167,1980.0,1989.0,0.0003900899829351755
1993.5482,168,1989.0,1998.0,0.0004129059445840626
2002.1106,169,1998.0,2006.0,0.00012307427407185425
2010.6614,170,2006.0,2015.0,0.00016624771004346693
2019.3214,171,2015.0,2024.0,0.00017545204674019273
2027.7267,172,2024.0,2032.0,0.00042537827053141733
2036.2607,173,2032.0,2040.0,0.0005181711763176266
2044.6809,174,2040.0,2049.0,0.0005037800309937556
2053.0078,175,2049.0,2057.0,0.0003385516937440629
2061.3787,176,2057.0,2066.0,0.00036235704663396595
2069.7957,177,2066.0,2074.0,0.0
2077.9915,178,2074.0,2082.0,0.00047181969575365906
2086.3823,179,2082.0,2091.0,0.0005060586290033685
2094.6252,180,2091.0,2099.0,0.0
2102.8213,181,2099.0,2107.0,0.0005187708073727879
2111.0391,182,2107.0,2115.0,0.0005305535576067071
2119.2314,183,2115.0,2123.0,0.0005212592762517072
2127.3372,184,2123.0,2131.0,0.0005186808627145136
2135.5103,185,2131.0,2139.0,0.0
2143.4656,186,2139.0,2147.0,0.0005307334469232555
2151.3862,187,2147.0,2155.0,0.00048579109933891704
2159.564,188,2155.0,2164.0,0.0004854313207058202
2167.4849,189,2164.0,2171.0,0.0004558095465808526
2175.3442,190,2171.0,2179.0,0.0
2183.4202,191,2179.0,2187.0,0.0004434871283972882
2191.1003,192,2187.0,2195.0,0.00045212181559161073
2199.1353,193,2195.0,2203.0,0.00042726710835517536
2206.843,194,2203.0,2211.0,0.00043922974790564304
2214.625,195,2211.0,2219.0,0.0
2222.4263,196,2219.0,2226.0,0.0004448362982714011
2230.0076,197,2226.0,2234.0,0.0
2237.9041,198,2234.0,2242.0,0.0004321840830074979
2245.4485,199,2242.0,2249.0,0.0
