CW (nm),BAND #,borne_min,borne_max,coeff
406.9934,1,403.0,411.0,0.008179398162795884
415.839,2,411.0,420.0,0.010146813839701348
423.7848,3,420.0,428.0,0.009171714467972514
431.3347,4,428.0,435.0,0.007489083804982297
438.6569,5,435.0,442.0,0.008878292762852307
446.0147,6,442.0,450.0,0.011326484250167315
453.3895,7,450.0,457.0,0.010599986107632287
460.7317,8,457.0,464.0,0.010828039914612982
468.0984,9,464.0,472.0,0.012240957436575045
475.3188,10,472.0,479.0,0.011014321489621963
482.5482,11,479.0,486.0,0.011031820667880379
489.7949,12,486.0,493.0,0.010593776721798655
497.0587,13,493.0,501.0,0.012557071624469073
504.5117,14,501.0,508.0,0.010799250943929774
512.0464,15,508.0,516.0,0.012231361113013975
519.5438,16,516.0,523.0,0.010245486625493983
527.3053,17,523.0,531.0,0.01233861414104945
535.0526,18,531.0,539.0,0.012468446753934498
542.8851,19,539.0,547.0,0.012369096580596373
550.9146,20,547.0,555.0,0.012534492039619498
559.0203,21,555.0,563.0,0.012202572142330767
567.2061,22,563.0,571.0,0.012016855056943027
575.4868,23,571.0,580.0,0.013477189707089193
583.8441,24,580.0,588.0,0.012212732955513075
592.339,25,588.0,597.0,0.013154866133361533
601.0144,26,597.0,605.0,0.011782591864128703
609.9582,27,605.0,614.0,0.013333244853673161
618.72,28,614.0,623.0,0.01310519104669247
627.7784,29,623.0,632.0,0.012707790353339977
636.6763,30,632.0,641.0,0.013061160856235803
645.9638,31,641.0,651.0,0.014403517175542948
655.4188,32,651.0,660.0,0.01238885371733975
664.8941,33,660.0,670.0,0.014020793212342677
674.4644,34,670.0,679.0,0.01284947724827105
684.1373,35,679.0,689.0,0.013275554014382504
694.1284,36,689.0,699.0,0.012998502508278236
703.737,37,699.0,709.0,0.013538719075804282
713.7269,38,709.0,719.0,0.013055064368326416
723.8799,39,719.0,729.0,0.011882054935391073
733.9552,40,729.0,739.0,0.012527718164164628
744.1495,41,739.0,749.0,0.01279980216160199
754.4696,42,749.0,760.0,0.01345675518280033
764.8564,43,760.0,770.0,0.00754237162522729
775.2735,44,770.0,780.0,0.01204846647573243
785.6595,45,780.0,791.0,0.012960681703655202
796.127,46,791.0,801.0,0.011413189855989677
806.7111,47,801.0,812.0,0.012377451026990716
817.311,48,812.0,823.0,0.010976782929809548
827.9195,49,823.0,833.0,0.010076252637046432
838.5272,50,833.0,844.0,0.011510903009426211
849.21,51,844.0,855.0,0.011001564024181953
859.9731,52,855.0,865.0,0.010211673697181747
870.7426,53,865.0,876.0,0.010899560749624004
881.4561,54,876.0,887.0,0.010791517436118796
892.0809,55,887.0,897.0,0.009297539204546764
902.8016,56,897.0,908.0,0.008702792939608999
913.4451,57,908.0,919.0,0.008358905862349993
923.9502,58,919.0,929.0,0.007921539303813754
934.1121,59,929.0,939.0,0.004118008235903094
943.3579,64,939.0,947.0,0.0038048858430016334
951.4014,65,947.0,956.0,0.004365254690005925
959.974,66,956.0,965.0,0.004930534596714998
969.8449,67,965.0,975.0,0.007031339171119318
979.224,68,975.0,984.0,0.006502863987715051
988.9179,69,984.0,994.0,0.007775336491912765
998.9082,70,994.0,1004.0,0.007749313520373633
1008.6443,71,1004.0,1014.0,0.0075357106476966655
1018.5357,72,1014.0,1024.0,0.0074139502363953416
1029.344,73,1024.0,1034.0,0.007302237740352076
1037.9878,74,1034.0,1043.0,0.006409440955399938
1047.675,75,1043.0,1053.0,0.0069703742920254694
1057.5737,76,1053.0,1063.0,0.006771109455727983
1067.7948,77,1063.0,1073.0,0.006570546293301647
1078.2161,78,1073.0,1083.0,0.006457817715940151
1088.761,79,1083.0,1094.0,0.006830380865958113
1099.2776,80,1094.0,1105.0,0.006262391409067091
1109.8894,81,1105.0,1115.0,0.004815830305679164
1120.6759,82,1115.0,1126.0,0.0026030874393830833
1131.3048,83,1126.0,1137.0,0.0024859784225607696
1142.0703,84,1137.0,1147.0,0.0030803634141409434
1152.6501,85,1147.0,1158.0,0.003584509094869796
1163.676,86,1158.0,1169.0,0.005000079718051683
1174.7142,87,1169.0,1180.0,0.005425535545579773
1185.5884,88,1180.0,1191.0,0.005236149277653975
1196.3394,89,1191.0,1202.0,0.0053710622971301775
1207.2737,90,1202.0,1213.0,0.005190877210030581
